utm_easting,utm_northing,elevation
405750.4809410639,6239857.417933641,-32.6929215
408060.1131073264,6241215.285453196,-31.833177714285714
415802.65272010275,6236863.621707796,-30.755260142857143
425647.4848623563,6260368.231950263,-26.224902823529412
425381.4880577615,6242507.914659485,-25.342038600000002
403836.67940394604,6237500.436695102,-33.269706500000005
422887.9909698501,6246842.274710611,-27.218747588235292
413985.5420617349,6237255.442391834,-31.157278846153847
412241.96933642117,6246096.224819595,-29.64933023076923
415986.76087997196,6243059.74436774,-29.3084582631579
415418.3719488358,6242306.904844799,-29.687860863636363
413612.8154481511,6238895.537501231,-31.06696042857143
411453.4167420343,6237191.918328116,-31.797270214285714
418048.80406167277,6236122.782158301,-29.86225238461538
421718.8260844827,6237972.303118909,-27.365554833333334
413604.81944851915,6243269.611094643,-29.96104707142857
415730.1361664111,6232721.122298981,-29.771681625
416980.3719053785,6236183.023184766,-30.3464905625
425159.21049990057,6244209.479518884,-25.55570682352941
420729.33722086594,6250107.842381404,-27.996608375
420446.2035573663,6246770.91567525,-27.616481277777776
417476.2188238075,6232978.278662351,-29.05720009090909
401442.0830100232,6234393.64853989,-32.59252572727273
408744.29276284314,6235610.414439642,-32.696161733333334
423148.2878060413,6245359.38659239,-26.72328725
406174.7543770956,6236631.666866154,-33.328557
410131.62143504823,6235711.8629421955,-32.254578928571426
410633.31957923603,6245637.265081199,-30.15948266666667
412372.0051200481,6248028.059093443,-29.151733526315788
413167.4763835885,6249478.855257454,-28.38899594117647
423225.07801470754,6256554.235545888,-27.095117785714283
411549.19788010465,6239899.776376779,-31.318775352941174
424968.42100433836,6239615.102390073,-25.525151529411765
416326.4035073243,6250431.026216075,-27.522168066666666
417989.80536138755,6250515.836925893,-27.580563944444446
423018.1229740823,6249593.160646039,-27.995106266666667
410631.1228135908,6242275.73719966,-30.97054776923077
414740.83425132884,6248478.247003709,-28.43635088235294
405775.94327224354,6232450.670856263,-33.49373833333333
420425.9924720168,6240328.505289866,-28.2539478125
422498.0313812103,6238744.073380735,-26.916722500000002
410496.3008142882,6239026.104431485,-31.77098107142857
421647.4033126872,6244456.880918056,-26.94991817647059
419720.97873962024,6235413.0201415615,-28.434451
401980.5438186508,6235982.429589404,-32.92562971428571
422395.5548541989,6235500.602602481,-26.55792272727273
417561.75861677434,6249288.969830572,-27.838107176470587
410387.9036405167,6234497.005370406,-32.16880938888889
408543.9045477757,6232791.98316516,-32.74027415384615
399864.6135294255,6232948.219073808,-31.947314739130434
406830.09738500725,6239595.090182175,-32.498575466666665
419532.9039516998,6254435.820290689,-26.411600692307694
422977.412120983,6240074.535567383,-26.668780285714288
422043.27279799146,6251860.765371851,-28.307408066666667
418045.72072120395,6251349.580636005,-27.3271665
422512.7440869339,6240912.407614695,-26.91498826666667
417012.041026718,6246010.574483625,-28.2822562
403407.7317541214,6232959.7532529505,-33.0591518
407463.411819575,6242619.967549157,-31.6505317
403173.1321209191,6234687.678595788,-33.127842214285714
424199.73348561884,6255995.151387168,-27.6952053125
424301.6780999701,6251961.488019557,-28.58567063157895
423176.9968968178,6258188.442538978,-26.35471617647059
424910.6132887464,6259964.755351408,-26.270754315789475
417120.9827539319,6237911.760668774,-30.487315294117646
424168.0100572682,6236839.25100371,-25.676442315789473
419137.0474944683,6246416.404391712,-27.780211285714284
419311.76920016925,6253396.266349584,-26.864444133333333
417623.9285483184,6254378.245733973,-25.5121561875
420443.69956740504,6235379.022452972,-27.880058
424961.00781295315,6257343.760403831,-27.008979733333334
417777.6956951814,6234645.469240345,-29.4768876875
406286.18778998253,6234527.080463005,-33.56512623076923
405111.43654898077,6236524.705285359,-33.5614235625
407175.93342474615,6237037.4405316245,-32.98881625
421350.29721798934,6238505.544652937,-27.664003357142857
423854.0872846898,6238617.475999736,-26.079708714285715
420336.22286715853,6243857.602919876,-27.41131258333333
414000.85520628776,6245395.925434237,-29.327706882352942
414464.64901260444,6250698.883274047,-27.398024
