latitude,longitude,elevation,value_count,cdi_index,utm_x,utm_y,utm_easting,utm_northing
55.46927083,7.8046875,-5.441034,4.0,2288.0,427480.825,6148655.042,424434.5547624233,6147662.832541802
55.46927083,7.805729167,-5.3456464,4.0,2288.0,427546.658,6148653.957,424500.40361899766,6147661.701146375
55.46927083,7.806770833,-5.2487965,4.0,2288.0,427612.492,6148652.872,424566.2524212641,6147660.570738562
55.46927083,7.8078125,-5.151326,4.0,2288.0,427678.326,6148651.788,424632.101295645,6147659.441316193
55.46927083,7.808854167,-5.054417,4.0,2288.0,427744.159,6148650.705,424697.95017891505,6147658.31288035
55.46927083,7.809895833,-4.9598303,4.0,2288.0,427809.993,6148649.623,424763.7990078536,6147657.185432118
55.46927083,7.8109375,-4.8709607,4.0,2288.0,427875.827,6148648.542,424829.64790888183,6147656.058969331
55.46927083,7.811979167,-4.850823,4.0,2288.0,427941.66,6148647.462,424895.49681877746,6147654.933493071
55.46927083,7.813020833,-4.9029417,4.0,2288.0,428007.494,6148646.383,424961.34567431826,6147653.809004417
55.46927083,7.8140625,-4.9803123,4.0,2288.0,428073.328,6148645.305,425027.1946019254,6147652.6855012085
55.46927083,7.815104167,-5.0612636,4.0,2288.0,428139.161,6148644.228,425093.0435383782,6147651.562984527
55.46927083,7.816145833,-5.1421466,4.0,2288.0,428204.995,6148643.152,425158.89242044964,6147650.441455448
55.46927083,7.8171875,-5.220599,4.0,2288.0,428270.829,6148642.077,425224.74137456727,6147649.320911816
55.46927083,7.818229167,-5.29624,4.0,2288.0,428336.662,6148641.003,425290.5903375041,6147648.201354711
55.46927083,7.819270833,-5.3698206,4.0,2288.0,428402.496,6148639.93,425356.4392460394,6147647.082785203
55.46927083,7.8203125,-5.44173,4.0,2288.0,428468.33,6148638.858,425422.28822659433,6147645.965201146
55.46927083,7.821354167,-5.512265,4.0,2288.0,428534.163,6148637.787,425488.1372159467,6147644.848603613
55.46927083,7.822395833,-5.5819826,4.0,2288.0,428599.997,6148636.717,425553.98615087423,6147643.732993673
55.46927083,7.8234375,-5.6508646,4.0,2288.0,428665.831,6148635.648,425619.83515779814,6147642.618369186
55.46927083,7.824479167,-5.7189116,4.0,2288.0,428731.665,6148634.579,425685.68417349766,6147641.504731222
55.46927083,7.825520833,-5.786445,4.0,2288.0,428797.499,6148633.512,425751.5331347474,6147640.392080849
55.46927083,7.8265625,-5.853942,4.0,2288.0,428863.332,6148632.446,425817.38216797024,6147639.280415928
55.46927083,7.827604167,-5.921017,4.0,2288.0,428929.166,6148631.381,425883.2312099438,6147638.169737531
55.46927083,7.828645833,-5.987749,4.0,2288.0,424388.65,6148823.108,425949.0801974458,6147637.060046719
55.46927083,7.8296875,-6.054163,4.0,2288.0,424454.481,6148821.975,426014.92925689754,6147635.951341364
55.46927083,7.830729167,-6.120276,4.0,2288.0,424520.312,6148820.844,426080.77832507674,6147634.843622529
55.46927083,7.831770833,-6.1860723,4.0,2288.0,424586.144,6148819.714,426146.627338761,6147633.736891277
55.46927083,7.8328125,-6.2514935,4.0,2288.0,424651.975,6148818.585,426212.47642437334,6147632.631145483
55.46927083,7.833854167,-6.316409,4.0,2288.0,424717.807,6148817.456,426278.32551868807,6147631.526386208
55.46927083,7.834895833,-6.3805776,4.0,2288.0,424783.638,6148816.329,426344.1745584846,6147630.422614512
55.46927083,7.8359375,-6.443708,4.0,2288.0,424849.47,6148815.203,426410.02367018425,6147629.319828276
55.46927083,7.836979167,-6.504888,4.0,2288.0,424915.301,6148814.077,426475.87279056467,6147628.218028558
55.46927083,7.838020833,-6.5595274,4.0,2288.0,424981.133,6148812.953,426541.7218564034,6147627.117216416
55.46927083,7.8390625,-6.603086,4.0,2288.0,425046.965,6148811.83,426607.570994122,6147626.017389734
55.46927083,7.840104167,-6.6349487,4.0,2288.0,425112.796,6148810.707,426673.42014049966,6147624.91854957
55.46927083,7.841145833,-6.6523075,4.0,2288.0,425178.628,6148809.586,426739.2692323091,6147623.820696978
55.46927083,7.8421875,-6.6527634,4.0,2288.0,425244.459,6148808.466,426805.1183959783,6147622.723829848
55.46927083,7.843229167,-6.6382136,4.0,2288.0,425310.291,6148807.346,426870.96756827994,6147621.627949236
55.46927083,7.844270833,-6.613373,4.0,2288.0,425376.122,6148806.228,426936.8166859933,6147620.53305619
55.46927083,7.8453125,-6.5785656,4.0,2288.0,425441.954,6148805.11,427002.6658755398,6147619.4391486095
55.46927083,7.846354167,-6.539351,4.0,2288.0,425507.786,6148803.994,427068.51507369714,6147618.346227545
55.46927083,7.847395833,-6.5033,4.0,2288.0,425573.617,6148802.878,427134.36421724275,6147617.254294043
55.46927083,7.8484375,-6.4723597,4.0,2288.0,425639.449,6148801.764,427200.2134325999,6147616.163346008
55.46927083,7.849479167,-6.44547,4.0,2288.0,425705.28,6148800.651,427266.06265654287,6147615.073384489
55.46927083,7.850520833,-6.4218554,4.0,2288.0,425771.112,6148799.538,427331.9118258508,6147613.984410527
55.46927083,7.8515625,-6.4013443,4.0,2288.0,425836.944,6148798.427,427397.76106694527,6147612.896422036
55.46927083,7.852604167,-6.383034,4.0,2288.0,425902.775,6148797.316,427463.6103166039,6147611.8094200585
55.46927083,7.853645833,-6.3665624,4.0,2288.0,425968.607,6148796.206,427529.45951160416,6147610.723405635
55.46927083,7.8546875,-6.3522444,4.0,2288.0,426034.439,6148795.098,427595.3087783677,6147609.638376683
55.46927083,7.855729167,-6.3400927,4.0,2288.0,426100.27,6148793.99,427661.158053672,6147608.554334244
55.46927083,7.856770833,-6.330158,4.0,2288.0,426166.102,6148792.884,427727.0072742945,6147607.471279356
55.46927083,7.8578125,-6.323155,4.0,2288.0,426231.934,6148791.778,427792.8565666587,6147606.389209941
55.46927083,7.858854167,-6.319855,4.0,2288.0,426297.765,6148790.674,427858.7058675387,6147605.308127036
55.46927083,7.859895833,-6.32205,4.0,2288.0,426363.597,6148789.57,427924.55511371355,6147604.228031681
55.46927083,7.8609375,-6.3311253,4.0,2288.0,426429.429,6148788.467,427990.40443160513,6147603.1489218
55.46927083,7.861979167,-6.3481164,4.0,2288.0,426495.261,6148787.366,428056.25375799084,6147602.070798428
55.46927083,7.863020833,-6.3728256,4.0,2288.0,426561.092,6148786.265,428122.1030296481,6147600.993662602
55.46927083,7.8640625,-6.403776,4.0,2288.0,426626.924,6148785.165,428187.9523729987,6147599.917512251
55.46927083,7.865104167,-6.441084,4.0,2288.0,426692.756,6148784.067,428253.8017248217,6147598.84234841
55.46927083,7.866145833,-6.482033,4.0,2288.0,426758.588,6148782.969,428319.6510218913,6147597.7681721095
55.46927083,7.8671875,-6.5249805,4.0,2288.0,426824.419,6148781.872,428385.500390631,6147596.694981285
55.46927083,7.868229167,-6.5685635,4.0,2288.0,426890.251,6148780.777,428451.3497678181,6147595.622776972
55.46927083,7.869270833,-6.61076,4.0,2288.0,426956.083,6148779.682,428517.19909023005,6147594.551560193
55.46927083,7.8703125,-6.650873,4.0,2288.0,427021.915,6148778.588,428583.0484842888,6147593.481328895
55.46927083,7.871354167,-6.687761,4.0,2288.0,427087.747,6148777.495,428648.89788677165,6147592.412084105
